CONDR_IDSEQ,CONCEPT_CODE
AEA12E73-7B59-F547-E040-BB89AD434A01,C66837:C25301
1DBF84EB-B1AD-22A3-E050-BB89AD435A95,C66837:C29844
AEA12E73-7B33-F547-E040-BB89AD434A01,C66838:C25301
ADDF9C02-3A10-5784-E040-BB89AD43338D,C69122:C29848
FC4B0AF4-D924-5651-E040-BB89AD433E30,C69177:C12801
7A244D8A-52C9-31A8-E040-BB89AD436F56,C69177:C19157
3C4B7208-52E2-2E92-E044-0003BA3F9857,C70627:C3519
3C4B7208-52BA-2E92-E044-0003BA3F9857,C70628:C3519
3C4B7208-5332-2E92-E044-0003BA3F9857,C70629:C3519
3C4B7208-530A-2E92-E044-0003BA3F9857,C70630:C3519
E7D99D77-F1C9-B53A-E040-BB89AD4331FD,C73705:C18000
5780D492-96B6-3CFD-E044-0003BA3F9857,C76246:Rh Negative Blood Group
5780D492-96DE-3CFD-E044-0003BA3F9857,C76246:Rh Positive Blood Group
E4E485A8-032D-C9B7-E040-BB89AD4349BE,C8511:C49236:C25745
CCCFF6F0-2C2F-7690-E040-BB89AD43525B,C86568:C37980:C61106
CCCFF6F0-2C38-7690-E040-BB89AD43525B,C86568:C38166:C61106
39978D4B-083D-535E-E050-BB89AD4354A2,C93214:C37912:C65069:C28554
21873A93-D165-A898-E050-BB89AD4354B4,C94462:C15399
CCF8C3E5-8AFB-62A9-E040-BB89AD4319A3,C94462:C51778
